date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change,hour,dow,is_weekend
2025-09-27 07:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 07:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,7,5,1
2025-09-27 08:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 08:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,8,5,1
2025-09-27 09:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:36:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:41:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:46:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:51:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 09:56:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,9,5,1
2025-09-27 10:01:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:06:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:11:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:16:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:21:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:26:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
2025-09-27 10:31:35+02:00,51d4b4f2-a095-1aa0-e100-80009459e03a,1.619,1.719,1.659,1.0,1.0,1.0,10,5,1
